text,true_label,predicted,rating
The quality is very good. I like this kind of mouse very much,Negative,Positive,1.0
"I work in I.T. and bought this for my laptop.  Drive worked fine while it lasted but not very long and in todays world of technology i would expect it to last much longer.  After my first true test with an SSD hard drive, i must say it is very disappointing.  I hope this is not what i will see in the future.  I just bought a Samsung EVO to replace it which i have used in customers computers without incident thus far.  I will not be buying Crucial hard drives in the future.",Negative,Neutral,2.0
It burnt my arm,Negative,Positive,1.0
"Read a lot of reviews, and they they are good.  It’s unusual that I wear earphones for hours, but after the 4th hour my ears ached a little on the first day.",Positive,Negative,5.0
"If you want genuine speed and charging capability, look at these cables.  Just because the cable fits in the usbC slot, does not mean you are getting the most out of your thunderbolt.",Positive,Negative,5.0
Connector worked since my previous ordered battery connector was not combatable with my phone.,Positive,Negative,5.0
This was for a budget build.  It serves it's purpose.  Wires and connections are decent.,Positive,Neutral,4.0
"The R9 Nano is an impressive card with serious power for its footprint. Unfortunately, the packaging that XFX is using for this card is the same they use for nearly every other card which doesn't accommodate the smaller size. My card was bouncing around in the box by the time it reached me because of the lack of packaging with a proper fit to hold and contain the smaller card. If you want to grab an R9 Nano I would recommend a different manufacturer.",Neutral,Negative,3.0
great except it is not 32 inches.i measured it and it was 29 inches.what happened?,Positive,Negative,4.0
"I like the speaker, the sound is  great. battery life is OK.<br />The one negative is the bungee cord, it is not holding up and looks like it will break soon. The company says it is not repairable. So with out the cord it will  not be good for my job or my bike rides.",Negative,Neutral,2.0
Defective bulb.. waited two days to get this only for it not to work. Sending back for refund.<br /><br />UPDATE: Changing product review to 4 stars company reached out and offered a replacement. Will edit appropriately once I get it.,Positive,Negative,4.0
Left ear bud went out within a week. Overall still good quality in the right ear.,Neutral,Negative,3.0
I got this for my daughter.  She'll spend hours and hours editing on her laptop and this cover doesn't allow for ventilation so she'll sometimes take it out to let it cool.  The material is great if you want to protect your laptop while walking around.  It's not that functional otherwise.,Neutral,Positive,3.0
"I worked in photo retail for 27 years and focusing rails like this, even the cheapest ones, cost much more, on the order of 2 to 3 times more.<br /><br />I don't know about the longevity of this unit but will try to post an update next year after its had some use. At first look its not in the same league as say a unit from Novoflex, but for light use this may be good enough for many of you out there. You'll get sticker shock when you see the price of the Novoflex, Canon or Nikon units.",Positive,Neutral,5.0
Luv this product,Positive,Negative,5.0
