text,true_label,predicted,rating
The quality is very good. I like this kind of mouse very much,Negative,Positive,1.0
Worked one week and quit. At least they agreed to send a replacement on these unlike their tablets which they don't back. Will see how good the replacements are.,Negative,Neutral,1.0
"I like the speaker, the sound is  great. battery life is OK.<br />The one negative is the bungee cord, it is not holding up and looks like it will break soon. The company says it is not repairable. So with out the cord it will  not be good for my job or my bike rides.",Negative,Neutral,2.0
Defective bulb.. waited two days to get this only for it not to work. Sending back for refund.<br /><br />UPDATE: Changing product review to 4 stars company reached out and offered a replacement. Will edit appropriately once I get it.,Positive,Negative,4.0
Left ear bud went out within a week. Overall still good quality in the right ear.,Neutral,Positive,3.0
I got this for my daughter.  She'll spend hours and hours editing on her laptop and this cover doesn't allow for ventilation so she'll sometimes take it out to let it cool.  The material is great if you want to protect your laptop while walking around.  It's not that functional otherwise.,Neutral,Positive,3.0
"I worked in photo retail for 27 years and focusing rails like this, even the cheapest ones, cost much more, on the order of 2 to 3 times more.<br /><br />I don't know about the longevity of this unit but will try to post an update next year after its had some use. At first look its not in the same league as say a unit from Novoflex, but for light use this may be good enough for many of you out there. You'll get sticker shock when you see the price of the Novoflex, Canon or Nikon units.",Positive,Neutral,5.0
Not apple quality.,Neutral,Negative,3.0
"Didn't realize it's plastic all around (very light), combined with the span of the legs make it useful to hold only light objects.",Neutral,Positive,3.0
"I've used the comply foam tips (or whatever foam tips came with earbuds if I got lucky enough) for ages, but they'd always get super gross with earwax or sweat or dirt and leaves from mowing the lawn but they're (especially the comply ones) super expensive.<br /><br />So far with these, I've not only found that they are just as nice as the comply version, but that they actually get less dirty, and they are SUBSTANTIALLY cheaper. Will absolutely be coming back for more when I need them!",Positive,Negative,5.0
"Good price and nice to have the remote control so you won't have to walk to the unit to turn it on. However, I wasn't so impressed with the sound quality so I returned it. The sound was pretty bland.",Positive,Neutral,4.0
not as bright as I'd wish. but they still look cool,Positive,Neutral,4.0
"This item worked as it should have with very mild use and was not moved around. the first problem i have is that all the ports are facing opposite of the power source and data connection, meaning any device you have with activity lights you wont see the activity because the usb ports are reversed. the front charging ports charge quickly and are the only ports working now. there is no data synch in the 7 ports but it still charges.",Neutral,Positive,3.0
How much you’re going to like and get out of this is going to depend a lot on both what you are using it for and your other products that you are using it with. What I mean by that is if you have high quality accessories or other products in your system then you will likely feel like this is amazing. If you have really subpar/cheap ones you will likely not find that it’s worth it.<br /><br />Or at least that’s my take away from it. I spent 2 weeks with this and honestly couldn’t figure out what the hype was about. But I also have a bare bone setup with cheap products because I’m just starting out. Yet I let a friend borrow this for a week and he was blown away by it. So of course I had to see what he was talking about and it worked amazing with his stuff. So it’s all just going to depend on what else you have.,Positive,Neutral,4.0
"Connection is easy, did not need a CD to install. Just went to 192.168.0.1 in internet browser and worked. The rage is decent, the same as my old wireless G router; about 55 feet using my phone I get about 1 to 2 bars signal and can watch a YouTube video. Only gripe, and it's a huge one, using the USB port makes the router stop working. Every time I try to connect to the media device on the router, it disconnects and drops the signal. I wont be using the USB, that's for sure.",Negative,Positive,2.0
